"INTF Name", "INTF Addr", "INTF Data", "INTF Array", "INTF Be", "Has TpSRAM"
MbistIntfFrontend,10,76,7,76,false
"SRAM Name","SRAM Type","SRAM array","pipeline depth","bitWrite","bank addr","selectOH width","foundry","SRAM Inst"
icache_metaArray_tagArrays_0_array_0_0_0_node0,sram_array_1p128x74m37s1h0l1b_icsh_tag.sv,0,4,true,None,1,Unknown,STANDARD
icache_metaArray_tagArrays_0_array_0_1_0_node0,sram_array_1p128x74m37s1h0l1b_icsh_tag.sv,1,4,true,None,1,Unknown,STANDARD
icache_metaArray_tagArrays_1_array_0_0_0_node0,sram_array_1p128x74m37s1h0l1b_icsh_tag.sv,2,4,true,None,1,Unknown,STANDARD
icache_metaArray_tagArrays_1_array_0_1_0_node0,sram_array_1p128x74m37s1h0l1b_icsh_tag.sv,3,4,true,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_0_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,4,4,false,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_1_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,5,4,false,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_2_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,6,4,false,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_3_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,7,4,false,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_4_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,8,4,false,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_5_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,9,4,false,None,1,Unknown,STANDARD
icache_dataArray_dataArrays_0_6_srams_0_node0,sram_array_1p256x66m66s1h0l1b_icsh_dat.sv,10,4,false,None,1,Unknown,STANDARD
