"INTF Name", "INTF Addr", "INTF Data", "INTF Array", "INTF Be", "Has TpSRAM"
MbistIntfL2,13,137,6,8,false
"SRAM Name","SRAM Type","SRAM array","pipeline depth","bitWrite","bank addr","selectOH width","foundry","SRAM Inst"
prefetcher_pbop_rrTable_rrTable_node0,sram_array_1p256x13m13s1h0l1b_l2_pftch_rrt.sv,0,4,false,None,1,Unknown,STANDARD
prefetcher_vbop_rrTable_rrTable_node0,sram_array_1p256x13m13s1h0l1b_l2_pftch_rrt.sv,1,4,false,None,1,Unknown,STANDARD
prefetcher_tp_tpMetaTable_node0,sram_array_1p1024x528m33s1h0l1b_l2_pftch_tp_meta.sv,2,4,true,None,4,Unknown,STANDARD
prefetcher_tp_tpMetaTable_node1,sram_array_1p1024x528m33s1h0l1b_l2_pftch_tp_meta.sv,3,4,true,None,4,Unknown,STANDARD
prefetcher_tp_tpMetaTable_node2,sram_array_1p1024x528m33s1h0l1b_l2_pftch_tp_meta.sv,4,4,true,None,4,Unknown,STANDARD
prefetcher_tp_tpMetaTable_node3,sram_array_1p1024x528m33s1h0l1b_l2_pftch_tp_meta.sv,5,4,true,None,4,Unknown,STANDARD
slices_0_directory_tagArray_array_0_0_0_node0,sram_array_1p512x76m19s1h0l1b_l2_tag.sv,6,4,true,None,1,Unknown,STANDARD
slices_0_directory_tagArray_array_0_0_1_node0,sram_array_1p512x76m19s1h0l1b_l2_tag.sv,7,4,true,None,1,Unknown,STANDARD
slices_0_directory_tagArray_array_0_1_0_node0,sram_array_1p512x76m19s1h0l1b_l2_tag.sv,8,4,true,None,1,Unknown,STANDARD
slices_0_directory_tagArray_array_0_1_1_node0,sram_array_1p512x76m19s1h0l1b_l2_tag.sv,9,4,true,None,1,Unknown,STANDARD
slices_0_directory_metaArray_node0,sram_array_1p512x104m13s1h0l1b_l2_meta.sv,10,4,true,None,1,Unknown,STANDARD
slices_0_directory_replacer_sram_opt_node0,sram_array_1p512x16m16s1h0l1b_l2_repl.sv,11,4,false,None,1,Unknown,STANDARD
slices_0_directory_origin_bit_opt_node0,sram_array_1p512x8m1s1h0l1b_l2_orgb.sv,12,4,true,None,1,Unknown,STANDARD
slices_0_dataStorage_array_array_0_0_0_node0,sram_array_1p4096x137m137s1h1l2b_l2_dat.sv,13,4,false,None,1,Unknown,STANDARD
