"INTF Name", "INTF Addr", "INTF Data", "INTF Array", "INTF Be", "Has TpSRAM"
MbistIntfMemBlk,9,148,7,2,false
"SRAM Name","SRAM Type","SRAM array","pipeline depth","bitWrite","bank addr","selectOH width","foundry","SRAM Inst"
dcache_dcache_bankedDataArray_data_banks_0_0_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,0,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_0_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,1,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_0_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,2,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_0_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,3,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_1_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,4,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_1_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,5,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_1_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,6,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_1_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,7,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_2_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,8,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_2_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,9,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_2_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,10,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_2_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,11,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_3_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,12,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_3_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,13,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_3_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,14,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_3_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,15,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_4_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,16,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_4_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,17,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_4_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,18,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_4_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,19,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_5_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,20,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_5_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,21,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_5_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,22,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_5_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,23,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_6_data_bank_0_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,24,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_6_data_bank_1_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,25,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_6_data_bank_2_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,26,4,false,None,1,Unknown,STANDARD
dcache_dcache_bankedDataArray_data_banks_0_6_data_bank_3_node0,sram_array_1p256x72m72s1h0l1b_dcsh_dat.sv,27,4,false,None,1,Unknown,STANDARD
